章节,知识点,知识点详情
第四章,"信息技术的社会特征（2009）	","第一，发展支撑性。由于信息技术的基础作用和带头作用，信息、知识、智慧日益成为社会 发展的决定力量，信息技术竞争成为企业、组织和国家信息力竞争乃至实力竞争的重要方面之一。
第二，经济联结性。由于信息技术对生产力 要素的改造，信息劳动者、脑力劳动者、知识分子的作用日益增强，网络成为社会发展的基础 设施，新的社会经济形态已经形成，即数字经济和网络经济。
第三，投入风险性。信息技术是知识、人才和资金密集型的新兴技术体系，信息技术的研 究和开发需要投入大量的资金。"
第四章,"数据挖掘（2, 2015）",数据挖掘是利用各种分析工具，在海量数据中发现模型和数据之间关系的过程，这些模型和关系可以被用来分析风险，进行预测（名词解释：2010、2015年）。
第四章,人工智能,"人工智能就是用计算机来模拟人的智能代替人的部分脑力劳动。
"
第四章,AI的主要应用（2021）,主要包括：机器人、定理证明、专家系统、自然语言处理、机器翻译、智能检索、模式识别（简答题：2021年）。
第四章,数据仓库（2014）,数据仓库是一个面向主题的，集成的，相对稳定的，反映历史变化的数据集合（名词解释：2014年）。
第四章,信息安全（2024）,信息安全技术是研究计算机系统和通信网络内信息的保护方法，通过信息数据的监控，扫描、检测、加密、认证、防攻击、防病毒和审计等活动，实现系统内信息的安全，保密，真实和完整（名词解释：2013年）。
第四章,信息安全技术（2013）,信息安全技术是研究计算机系统和通信网络内信息的保护方法，通过信息数据的监控，扫描、检测、加密、认证、防攻击、防病毒和审计等活动，实现系统内信息的安全，保密，真实和完整（名词解释：2013年）。
第四章,物联网,IOT把所有物品通过信息传感设备与互联网连接起来进行信息交换和通信，实现智能化识别、定位、跟踪、监控和存储。
第四章,云计算（2019）,云计算技术是通过网络将庞大的计算处理程序自动分拆成无数个较小的子程序，交由多台服务器所组成的庞大系统经过搜寻，计算分析，再将处理结果回传给用户，计算分析，再将处理结果回传给用户（名词解释：2019年）。
第四章,SaaS（2023）,用软件解决方案，按需定制云端托管并维护软件
第四章,PaaS（2023）,提供软件应用的开发部署，环境底层操作系统等计算平台资源可以有效地降低硬件购置成本。
第四章,IaaS（2023）,强调弹性云概念，依据自身强大的数据中心与硬件基础设施作为服务的对象，用户按需付费购买所需的数据空间计算性能与定制等附加增值服务。
第四章,大数据5V特征（2016）,体量、多样、速度、价值、质量
第四章,信息技术服务三角形（2020）,顾客，服务人员，服务系统和服务战略组成。
第四章,首席信息官（2017）,首席信息官是负责一个公司或组织信息技术和系统所有领域的高级官员（名词解释：2017年）。
第五章,信息组织（2011）,信息组织，即信息序化或信息整序、信息加工，是指利用科学规则和方法，通过信息外在特征和内容特征的表征和序化，实现无序信息流向有序信息流的转换，保证用户有效获取和利用信息，促进信息有效流通和组合。
第五章,概念,概念是反映客观事物本质属性或特有属性的思维形式概括，是人们对事物的认识上升到理性认识阶段后的产物。
第五章,概念之间的关系（2016）,相容关系（同一关系、属种关系、交叉关系等）和不相容关系（并列关系、矛盾关系、对立关系等）（简答题：2016年）
第五章,概念的逻辑方法,"（一）概念的划分与概括
利用概念内涵由反映事物本质属性的概念因素构成，概念因素的增减可以形成新的概念，概念内涵与外延成反变关系等性质，对概念进行划分或概括形成更为专指或更为范指的新概念。
（二）概念的分析与综合
利用概念的交叉关系中两个概念外延的重合部分可以形成一个新概念，其内涵等于后来两个概念内涵之和，并与原来两个概念具有隶属关系的性质，将一个内涵较深的复杂概念分析为两个或两个以上内涵较浅的简单概念，或者将两个或两个以上的内涵较浅的简单概念综合为一个内涵较深的复杂概念。"
第五章,广义的信息构建（2010）,是指如何组织信息以帮助人们有效实现信息资源与其信息需求相匹配的一门艺术和科学。
第五章,信息构建的主要活动（2015）,信息构建的主要活动是组织信息内容、生成信息结构和设计信息界面，其直接目标是建立一个清晰的、易于理解的信息结构，最终目标是提供给用户一个良好的信息空间环境（简答题：2015年）
第五章,信息建筑师（2013）,21世纪专业化职业，代表着该时代对人类理解清晰、信息组织科学的集中需求。（名词解释：2013年）
第五章,用户体验（2，2024）,用户在网站上方便、快捷地满足其各种需求的行为和感受（名词解释：2016年）。
第五章,"信息描述（2, 2022）",信息描述是根据一定的管理规则和技术标准，对信息的外在特征和部分内容特征进行全面描述并予以记录的过程（名词解释：2021、2022年）。
第五章,元数据,元数据就是关于数据的数据，是任何用于发现、描述和定位网络电子资源的数据。
第五章,信息揭示,信息揭示即对信息的内容特征进行深层次揭示并转换成主题标识，形成一个科学地逻辑概念表示系统。
第五章,信息分析（2017）,信息分析即根据特定的目的和任务，对有关的大量信息进行全面地系统化、综合化和适用化加工，从而形成新信息的过程。
第五章,信息存储,信息存储是按照一定的规律、将各种信息有效地存放在一定的空间中，并能有效地得以索取。
第五章,FRBR（2020）,书目记录功能需求（FRBR）：以用户需求作为描述依据，建立了一个将资源对象基本属性及其对象关系与用户资源发现任务联系起来的概念模型（名词解释：2020年）。
第五章,RDF（2024）,是一种表示国际互联网资源信息的语言。
第五章,OWL,网络本体语言（OWL）：用于对本体进行语义描述，显性地表达本体中词汇的确切含义，揭示其间的语义关系，从而形成对领域知识的共同理解，并通过一定的限制与规划使本体具有一定的推理能力。
第五章,知识组织体系KOS（2017）,知识组织体系（KOS）是各种人类知识结构进行表达和组织的阐述语义工具的统称。
第五章,"KOS的特点（2, 2023）","A、具有从领域知识中抽象出的概念体系   
B、构建被精确定义的概念体系
C、支持概念体系的形式化描述     
D、支持概念体系的知识展示"
第五章,概念图,是表示概念和概念之间相互关系的空间网络结构图。
第五章,主题图,侧重以可视化方式表示知识概念间的相互联系，通过由主题、关联和呈现三个核心概念组成主题图数据模型，用以描述主题、主体间的关联性以及主题与资源实体之间的关系，并联结与其相关的资源。
第五章,分众分类法,由大众意见一致而产生的基于用户的分类体系（标签）
第五章,超文本,是一种管理文本的技术，是网络信息组织的基础。将文本信息存储在许多结节点，通过链接将这些节点连成网状结构。
第五章,自由文本,是对非结构化的文本信息进行组织和处理的一种方式
第五章,二次网络信息（2010）,二次网络信息是指对一次网络信息进行描述、揭示、分析和存储后，形成的有序化、系统化的网络信息资源。（名词解释：2010年）
第五章,搜索引擎（2012）,是目前Internet上对二次网络信息进行组织的主要形式，是报道，存储网络上一次信息的检索工具，其性质作用与传统文献检索工具相同（名词解释：2012年）。
第五章,"个性化信息定制（2017）	",通过用户定制获取用户的个性化信息并理解用户的需求，采用信息代理和信息过滤等方法，为用户提供更准确的网络信息服务。（简答题：2017年）
第六章,信息管理,信息管理是将信息从分散到集中，从无序到有序，从繁杂到精炼，使之不断适应社会需求并使其价值不断提升的过程。
第六章,知识经济（2022）,以现代科学技术为核心的，主要建立在知识和信息的生产、分配、使用和消费的基础之上的经济。
第六章,隐性知识,隐性知识指无法表达或难以表达的知识，多指个人长期实践中积累的经验和体会，有些内容无法记录和明确表达出来，但确实是一种客观存在的知识。
第六章,显性知识,显性知识指已经被解释、记录或形成文档的知识，这种知识显而易见，是人们学习知识的主要来源。
第六章,信息服务,信息服务就是特定的信息管理服务机构针对用户的信息需求或知识需求，及时地将信息和知识提供给用户。信息用户本质上就是一种信息的传递，是一个完善的结构性系统。
第六章,知识服务,知识服务可以为用户提供更为理想的支持，满足当前用户更高的要求。知识服务往往能够深层次挖掘文献资料的隐形知识点，进而也就能够为用户提供更为详细全面的知识内容，促使相关文献资料能够发挥出更强应用价值。
第六章,编译服务,将国内外文献资料进行筛选、分析、加工，从中提炼出能够满足用户需求的相关信息并编制成汇编、手册、选编等参考资料。
第六章,OATS,为用户提供所需要的单篇原始文献的服务
第六章,SDI（2009）,见书表6-4专门信息服务举例
第六章,馆际互借(ILL)（2011）,图书馆之间通过互相借阅、交换、馆际文献传递等方式，满足用户对本馆无法提供的资料的需求。
第六章,近期文献目次服务(CCS),提供一定学科或主题的核心期刊或会议论文集的最新目次或摘要，使用户了解该学科或主题的发展动态。
第六章,科技查新咨询服务,为满足科研人员的研究立项、成果鉴定、申请专利、申报奖励等方面的需要，通过手工与计算机检索等手段，运用对比方法、综合分析，提供其新颖性、先进性和实用性的文献依据。
第六章,OPAC（2014）,在网络上通过书目数据库检索，提供本图书馆或其他图书馆馆藏信息的查询服务
第六章,面向决策动向信息服务(NIS),针对决策者的需要，把有助于决策制定的信息以快报的方式动态地提供给信息用户。
第六章,数字参考咨询服务(DRS),见书表6-4专门信息服务举例
第六章,预印本服务,通过建立专门的信息系统或收藏机构，提供科研工作者自愿先于学术会议或通过互联网发布的非正式科研论文和科技报告等研究成果的全文或索引信息的发布和获取服务，是从早期的手稿寄存服务发展起来的。
第六章,ORI（2010）,动态地提供正在进行中的科研项目和计划的相关信息。
第六章,信息管理五法则（2024）,"（一）信息资源是为了用户
（二）每个用户都有其信息资源
（三）特定信息资源都有其用户
（四）节省信息人的时间
（五）信息管理是生长中的有机体"
第六章,社会栅栏机制,在个体信息的外化中，不但需要经过概念的逻辑组合，并以适当的方式对信息加以描述和记录，同时还经过某种社会栅栏的认可，才能进入社会信息流通。
第六章,社会学习鱼,为了有效发挥与个体知识信息状态有关的学习要素的作用，需要在特定的社会信息环境中创建，由学习观念，学习架构，学习促进与保障机制和学习行动共同构成的社会学习运行体系，可以形象地称为社会学习鱼。
第七章,信息道德（2014）,信息道德就是信息创造者，信息服务者和信息使用者在信息活动中普遍认同和共同遵守的，符合社会一般要求的行为和伦理规范（名词解释：2014年）。
第七章,网络不道德行为（2013）,"（一）有意地造成网络交通混乱或擅自闯入网络及其相联的系统
（二）商业性或欺骗性地利用大学计算机资源     
（三）伪造电子邮件信息
（四）盗窃资料、设备或智力成果     
（五）未经许可而查看他人的文件
（六）在公共用户场合做出引起混乱或造成破坏的行为"
第七章,信息自律（2020）,信息主体根据相关信息伦理和信息道德规范，对信息活动中自身信息行为的一种自我规范和约束，是信息伦理和信息道德的重要组成部分。
第七章,信息政策,信息政策是国家和社会组织为实现信息管理目标而规定的信息管理行为准则，是进行信息管理决策的指导方针，代表了国家和社会组织的基本管理思想，提供了信息管理的一般原则。
第七章,信息法律,信息法是由国家立法机关批准制定，并由国家执法机关的强制力保证实施已在信息活动中产生的社会关系，即以信息法律关系为调整对象的法律规范。
第七章,信息政策与法律的关系（2010）,"（1）联系
A、本质同一性，都是对信息资源进行人文管理的手段，具有不同程度的规范性。
B、发展继承性，信息政策是信息法律的重要基础，信息法律是信息政策的规范化、条文化。
C、应用上的制衡性，信息法律对于信息政策是制定和实施有一定的保障和制约作用，信息政策的制定和实施必须在不违背信息法律规定的前提下。
（2）区别
A、作用针对性：信息政策具有较强的针对性，信息法律更基本更普遍。
B、时效稳定性：信息法律比信息政策时效性长、稳定性高。
C、执行强制性：信息法律具有极高的约束力和强制执行性。
D、内容操作性：信息法律可操作性强，信息政策内容较笼统，可操作性相对不强。"
第七章,"知识共享许可协议（2, 2018）","知识共享许可协议是指作者在保留其作品的部分权利的同时，授权他人在特定条件下使用其作品的一系列规则（名词解释：2016、2018年）。
四个要素：署名、非商业性使用、禁止演绎、相同方式共享。"
第八章,信息经济,信息经济：是以信息技术为基础，信息产业为主导，依靠信息和知识发展的经济。
第八章,广义的信息商品（2011）,广义的信息商品泛指提供市场交换的一切信息产品和服务。
第八章,信息商品的特殊性,"（1）价值形态和载体的相对独立性。信息商品的构成一般包括信息内涵和信息载体两部分，能够真正创造新价值和构成信息商品价值的，是凝结在“有形”信息载体上的“无形”的信息内涵。
（2）所有权与使用权的有限分离性。在信息商品的交换中，买方不一定非要取得所有权，购买使用权即有可能达到自身的目的；信息商品的销售活动的完成，也不一定意味这卖方所有权的丧失。"
第八章,信息市场,信息市场是在信息商品生产和信息商品交换中产生和形成的信息商品交换场所，以及由信息商品所连接的信息生产、分配、流通和消费全过程中人与人之间的各种经济关系的总和。
第八章,信息企业,"信息企业是指从事信息生产、流通等经济活动，为满足信息市场消费需要并获取相应的盈利，进行自主经营、实行独立经济核算、具有法人资格的专门经济单位。
信息企业并不等同于信息机构，只有进入市场，并且按照市场经济规律运行的信息机构才能成为信息企业。"
第八章,信息产业,指国民经济活动中与信息产品和信息服务的生产、流通、分配和消费直接有关的相关产业的集合。
第八章,信息产业的特征（2020）,"（1）知识密集性     
（2）高度风险性    
（3）非均衡演化性"
第八章,电子商务（2009）,电子商务包括生产、流通、分配、交换和消费等环节中所用活动的电子信息化处理。其本质是企业利用电子方式在客户、供应商和合作伙伴之间实现在线交易、相互协作和价值交换。
第八章,电子商务模式（2013）,"（一）企业对企业的电子商务（B2B），企业与企业之间的交易，如公司通过互联网向它的供货商订货。
（二）企业对消费者的电子商务（B2C），即电子零售（2013）。
（三）消费者对消费者的电子商务（C2C），即使用个人网站或电子邮件等交换数据。
（四）企业对政府机构的电子商务（B2G），包括企业与政府机构之间的事物交易处理，如纳税等。
（五）消费者对政府机构的电子商务（C2G）。
（六）比特币P2P模式
线上线下（O2O）模式，指线下的商务机构与互联网结合，让互联网成为线下交易的前台。"
第八章,电子商务与传统商务（2012）,电子商务与传统商务活动方式相比，具有交易虚拟化、交易成本低、交易效率高、交易透明化等特点。如电子商务使得买卖上方的交易成本大大降低，减少交易环节，缩短交易时间；电子商务实行无纸交易，可减少大量的文件传递和处理的时间和费用。
第八章,电子数据交换（EDI）,电子数据交换（EDI），指在不同企业或组织间，依据一定的交换标准，将业务往来的数据资料转换成标准化格式，以电子形式在计算机之间进行传输，以降低人工操作的错误率和信息处理成本，提高文件处理效率，改善客户服务质量的一种管理系统工具。
第八章,信息管理经济杠杆,"（一）价格是一种灵敏度高且有效性强的经济杠杆，其经济基础是价格联系经济活动参与者的广泛性，价格对市场机制影响的灵敏性，价格在经济主体经济利益中的逆向性。
（二）税收的经济杠杆只能是通过调整税种和税的设置，目的税率的高低和税收征管权限等措施，引导经济活动的运行方向调整信息市场各方面的经济利益关系。
（三）信贷及信用借贷行为反映着借贷双方的商品货币关系和利息分割关系。
（四）工资是指按照劳动者所耗费的劳动，以货币形式支付的相应报酬，需遵循按劳分配规律。"
第九章,信息系统（2，2024）,信息系统是通过信息的收集、处理、存储、传递和交流而实现的信息从信息源到信息用户的职能系统（2010年）
第九章,管理信息系统,利用计算机技术、网络通信技术和信息处理技术等技术手段，提供信息以支持特定组织机构的运行、管理和决策的人机系统。
第九章,诺兰模型,"诺兰将信息系统发展划分为开发期、普及期、控制期和成熟期；后又将其修正为初始期、普及期、控制期、整合期、数据管理期和成熟期。
前三个阶段具有计算机数据处理时代的特征，后三个阶段现实出信息技术时代的新特点。信息系统必须从一个阶段发展到另一个阶段，不能跳跃式发展。"
第九章,DSS,决策支持系统，是一种以计算机为工具，应用决策科学及有关学科的理论与方法，以人机交互的方式辅助解决决策问题的信息系统。
第九章,ES（2011）,专家系统，是人工智能的重要分支，是一类具有专门知识和经验的计算机智能程序系统，一般采用知识表示和知识推理技术来模拟通常由领域专家才能解决的复杂问题（名词解释：2011年）。
第九章,信息系统的功能,"（一）信息系统的基本功能
信息系统的基本功能是通过信息、物质和能量在外界环境―信息系统―外界环境的循环中往复运动，最终体现对信息的采集、处理、存储、管理、检索和传递。
（二）信息系统的现实功能
（1）社会信息管理的重要方式
（2）社会决策活动的重要支撑
（3）社会正常运转的重要手段"
第九章,"信息系统生命周期（2, 2021）","信息系统开发的阶段性工作的延续和循环的秩序化过程称为信息系统生命周期。（名词解释：2016、2021年）
信息系统生命周期主要包括系统规划、系统分析、系统设计、系统实施和系统运行与维护五个阶段。"
第九章,结构化开发方法,"运用系统工程的思想和工程化的方法，按用户至上的原则，结构化、模块化、自顶向下地对系统进行分析与设计。
基本特点
（一）优点：强调系统开发过程的整体性和全局性，在整体优化经济结构的前提下，考虑具体的分析设计问题，即自顶向下的理念；严格区分开发阶段，强调按顺序一个个阶段严格进行，使每一个阶段工作有可靠的依据，避免开发过程的混乱状态，使系统开发的成功率得到提升。
（二）缺点：开发周期过长，开发过程复杂繁琐，难以适应迅速变化的环境；使用的工具落后"
第九章,原型法（2013）,在限定的时间内，用最经济的方法，开发一个可以实际运行的系统原型，通过运行原型，与用户共同对原型不断评价和修改，使之逐步完善，最终形成实际系统。其工作流程是用户提出要求，开发人员识别和归纳需求，迅速开发出原型，然后交付用户评价（名词解释：2013年）。
第九章,信息系统安全管理（2015）,信息系统安全管理是在充分分析信息系统安全风险和建立信息系统安全机制的基础上，制定信息系统的安全策略，采取先进、科学、适用的安全技术，对信息系统进行安全防护和监控，使系统具有灵敏、迅速的响应和动态调整的功能（名词解释：2015年）。
第九章,计算机病毒,计算机病毒指人为制造的，能自我复制的，能对计算机的信息资源和正常运行造成危害的一种程序，具有传染性，破坏性、寄生性和潜伏性。
第十章,IRP（2015）,信息资源规划，对企业、事业单位或政府部门的信息从产生、获取到处理、存储、传输和使用的全面规划，是信息化建设的基础工程，主要用于解决企业信息化中系统集中和系统重建问题（名词解释：2015年）。
第十章,ERP,企业资源计划：对企业的人财物等资源进行优化配置的方法，通常通过某种管理应用软件来实现，是从MRP和MRPII 到企业对人、财、物等多种资源的整合优化过程。
第十章,电子政务（2011）,电子政务（EG）是政府利用信息化手段实现各类政府职能的重要手段，其核心是应用现代信息技术，提高政府事务处理的信息流效率，改善政府组织和公共管理（名词解释：2011年）。
第十章,传统政务与电子政务（2014）,"（一）从管理观念看
传统政务是高成本、低效率的粗放管理方式，容易疏远政府与民众的关系；电子政务通过先进生产力来解放管理能力，可以促进政务公开和廉政建设，提高管理效率。
（二）从管理方式看
传统政务管理，大多以行政会议、直线指挥、垂直沟通为主，耗费了大量行政经费；电子政务利用现代信息技术加强全局管理，精简和优化政务流程，并通过虚拟办公，降低管理成本，使政务处理更加集约和便捷（简答题：2014年）。"
第十章,电子文件（2018）,电子文件，是以代码形式记录在磁带、磁盘、光盘等载体上，依赖计算机系统存取并可以在通信网络上传输的文件（名词解释：2018年）。
第十章,数字信息资源长期保存（2018）,"（一）数字信息资源长期保存，指如何及时、有效地对数字信息资源进行永久性保存，以保证未来用户可以检索、获取各种数据或记录（名词解释：2018年）。
（二）相关概念：策管、存档、保存
（三）技术：迁移、仿真、技术保存"
第十章,文献（2，2024）,文献是记录有知识的一切载体，主要指以文字、图形、符号、音频、视频等为主要记录手段的一切信息和知识载体（名词解释：2009年）。
第十章,文献的形式（2012）,"（一）非连续性：书、小册子、手稿、会刊、表……
（二）连续性：丛书、期刊、学报、报纸、年鉴……
（简答题：2012年）"
第十章,"数字图书馆（3, 2022）",数字图书馆是对有价值的图形、文本、语言、音像、影像等多媒体信息进行收集、组织规范性的加工，进行高质量保存和管理，实现知识增值，并提供在广域网上高速、横向、跨库连接的电子存取服务（名词解释：2012、2016、2022年）。
第十章,数字图书馆的发展趋势（2023）,"(1)信息资源的数字化和虚拟化
(2)信息利用的网络化和共享化
(3)信息检索的智能化和高速化
(4)服务对象的广泛化和全球化
(5)信息资源的优质化和集约化
"
第十章,MEMEX（2019）,是一种机械化的个人文件图书馆，即一种能实现远程存取的桌面系统，使个人能将其所有图书、记录和通信都存储起来（简答题：2019年）。
第十章,复合图书馆（2010）,复合图书馆是处在图书馆由传统图书馆向数字图书馆转变过程中的动态发展阶段，是印刷型文献与数字化文献有机结合、相互共存，传统图书馆和新型图书馆有机结合的全新的图书馆模式（名词解释：2010年）。
第十章,科学数据（2018）,科学数据，指人在认识世界、改造世界的科技活动中所产生的原始性数据，以及按照不同需求，系统加工的数据产品和相关信息（名词解释：2018年）。
第十章,科学数据管理,科学数据管理：指科学领域中，在从数据生成到数据失效的全过程中，对各种科学数据进行选择、验证、注释、组织、存储和长期保存的一系列活动和方法。
第十章,"科学数据管理活动（3, 2022）","(一)科学数据开发服务
(二)科学数据存储服务
(三)科学数据导航及检索服务
(四)科学数据管理咨询服务
(五)科学数据分析服务"
